asin,brand,title,price,mrp,discount_pct,rating,review_count,size_tag,url
B0FFBBFDRN,American Tourister,"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",1799.0,6000.0,70.0,4.1,396,cabin,https://www.amazon.in/dp/B0FFBBFDRN
B0FFBBZT6M,American Tourister,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFBBZT6M
B0FFB9M337,American Tourister,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFB9M337
B0F5HLYQK3,American Tourister,American Tourister Liftoff+ | Large Size Check-in Trolley Bag (79 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Seafoam Blue,3799.0,9800.0,61.2,4.1,2285,large,https://www.amazon.in/dp/B0F5HLYQK3
B07Z3YX83T,American Tourister,"American Tourister Medium Trolley Bag for Travel | Upland Spinner 68 Cms Polypropylene Hardsided Check-in Luggage Bag | Suitcase for Travel | Trolley Bag for Travelling, Black",2549.0,8490.0,70.0,4.2,589,medium,https://www.amazon.in/dp/B07Z3YX83T
B0FPXH2SP9,American Tourister,Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Pearl White),2049.0,8490.0,75.9,4.0,1169,medium,https://www.amazon.in/dp/B0FPXH2SP9
B0DSJGQYGD,American Tourister,"FUR JADEN The Voyager 65cm German Polycarbonate Travel Luggage Check-in ZIPLESS Suitcase with 8 StealthTech Silent Wheels, Double TSA Locks & Aerospace Grade Wide Trolley (Stark Black, Medium 24"")",7999.0,13000.0,38.5,4.3,56,medium,https://www.amazon.in/dp/B0DSJGQYGD
B0F5HLTS84,American Tourister,American Tourister Liftoff+ | Large Size Check-in Trolley Bag (79 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Berry Blast,3799.0,9800.0,61.2,4.1,2285,large,https://www.amazon.in/dp/B0F5HLTS84
B0BTHN42H6,American Tourister,"American Tourister Polyester Harp Duffle Bag 62 Cm Grey, 62 x 32 x 29 Centimeters",999.0,3500.0,71.5,3.9,62,unknown,https://www.amazon.in/dp/B0BTHN42H6
B0D633NS5R,American Tourister,Kamiliant American Tourister Harrier | Trolley Bag Check-in Large Size (79 cms) for Travel| Hard Case Polypropylene (PP) Suitcase | 360° 4-Wheel Luggage Trolley | Combination Lock | Slate Grey,2399.0,12200.0,80.3,4.1,14801,large,https://www.amazon.in/dp/B0D633NS5R
B0F5HLY8ND,American Tourister,American Tourister Robotech | Large Size Check-in Trolley Bag (77 cm) | 360° 8 Wheel Travel Luggage | Hard Case Polycarbonate (PC) Suitcase | Recessed TSA Lock | Cadet Blue,5299.0,14600.0,63.7,4.1,2103,large,https://www.amazon.in/dp/B0F5HLY8ND
B0BV7HHF3W,American Tourister,uppercase Polycarbonate JFK (Large) 76cm | Hardsided Check-in Trolley Bag for Travel Spinner Luggage | 8 Wheel Trolley Bag |Suitcase for Unisex |2000 Days Warranty (Teal Blue),4200.0,7000.0,40.0,4.3,1113,large,https://www.amazon.in/dp/B0BV7HHF3W
B0FFBBFDRN,Aristocrat,"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",1799.0,6000.0,70.0,4.1,396,cabin,https://www.amazon.in/dp/B0FFBBFDRN
B0FFBBZT6M,Aristocrat,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFBBZT6M
B0FFB9M337,Aristocrat,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFB9M337
B0FC6QHJD7,Aristocrat,Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Grey),1439.0,7990.0,82.0,4.1,2466,cabin,https://www.amazon.in/dp/B0FC6QHJD7
B0FPXK5JRQ,Aristocrat,Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),2049.0,8490.0,75.9,4.0,1169,medium,https://www.amazon.in/dp/B0FPXK5JRQ
